Station ID,Station Name,Province,Reported Station,Rainfall (mm),Date
41680,SAHIWAL,Punjab,SAHIWAL,5,"12 Aug, 2025"
41634,CHAKWAL,Punjab,CHAKWAL,16,"11 Aug, 2025"
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,0,"11 Aug, 2025"
41516,GILGIT,GB,GILGIT,0,"11 Aug, 2025"
41577,ISLAMABAD,Islamabad,ISLAMABAD,0,"11 Aug, 2025"
41571,RAWALPINDI,Punjab,RAWALPINDI,0,"11 Aug, 2025"
41567,Attock,Punjab,Attock,1,"10 Aug, 2025"
41562,BANNU,KPK,BANNU,13,"10 Aug, 2025"
41577,ISLAMABAD,Islamabad,ISLAMABAD,3,"10 Aug, 2025"
43534,Jammu,Kashmir,Jammu,1,"10 Aug, 2025"
41640,LAHORE,Punjab,LAHORE,23,"10 Aug, 2025"
41571,RAWALPINDI,Punjab,RAWALPINDI,0,"10 Aug, 2025"
41567,Attock,Punjab,Attock,14,"09 Aug, 2025"
41634,CHAKWAL,Punjab,CHAKWAL,23,"09 Aug, 2025"
41508,DIR,KPK,DIR,2,"09 Aug, 2025"
41598,JHELUM,Punjab,JHELUM,13,"09 Aug, 2025"
43534,Jammu,Kashmir,Jammu,0,"09 Aug, 2025"
41574,RAWALAKOT,Kashmir,RAWALAKOT,4,"09 Aug, 2025"
41571,RAWALPINDI,Punjab,RAWALPINDI,0,"09 Aug, 2025"
41535,Abbotabad,KPK,Abbotabad,6,"08 Aug, 2025"
41567,Attock,Punjab,Attock,20,"08 Aug, 2025"
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,23,"08 Aug, 2025"
41577,ISLAMABAD,Islamabad,ISLAMABAD,1,"08 Aug, 2025"
41598,JHELUM,Punjab,JHELUM,0,"08 Aug, 2025"
41525,MALAM JABBA,KPK,MALAM JABBA,7,"08 Aug, 2025"
41573,MURREE,Punjab,MURREE,0,"08 Aug, 2025"
41571,RAWALPINDI,Punjab,RAWALPINDI,1,"08 Aug, 2025"
41520,ASTORE,GB,ASTORE,1,"07 Aug, 2025"
41567,Attock,Punjab,Attock,20,"07 Aug, 2025"
41634,CHAKWAL,Punjab,CHAKWAL,5,"07 Aug, 2025"
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,11,"07 Aug, 2025"
41516,GILGIT,GB,GILGIT,0,"07 Aug, 2025"
41505,HUNZA,GB,HUNZA,0,"07 Aug, 2025"
41577,ISLAMABAD,Islamabad,ISLAMABAD,5,"07 Aug, 2025"
41598,JHELUM,Punjab,JHELUM,15,"07 Aug, 2025"
43534,Jammu,Kashmir,Jammu,20,"07 Aug, 2025"
41780,KARACHI,Sindh,KARACHI,0,"07 Aug, 2025"
41525,MALAM JABBA,KPK,MALAM JABBA,20,"07 Aug, 2025"
41573,MURREE,Punjab,MURREE,1,"07 Aug, 2025"
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,36,"07 Aug, 2025"
41571,RAWALPINDI,Punjab,RAWALPINDI,36,"07 Aug, 2025"
41517,SKARDU,GB,SKARDU,0,"07 Aug, 2025"
41535,Abbotabad,KPK,Abbotabad,8,"06 Aug, 2025"
41567,Attock,Punjab,Attock,10,"06 Aug, 2025"
41562,BANNU,KPK,BANNU,0,"06 Aug, 2025"
41624,D-I-KHAN,KPK,D-I-KHAN,2,"06 Aug, 2025"
41508,DIR,KPK,DIR,9,"06 Aug, 2025"
